POSICIÓN,SUELDO,CLASIFICACIÓN,PRESTACIONES DE LEY,PRESTACIONES SUPERIORES,EMPRESA,GIRO,TAMAÑO DE LA EMPRESA,CIUDAD O ZONA,ESTADO,REGIÓN,FUENTE,PT SEGURO DE VIDA,PT MEMEBRESIA DESC,PT TRANSPORTE,PT SGMM,PT FLEXIBILIDAD,PT VALES DESPENSA/GASOLINA,PLAN DE CRECIMIENTO,PT ECONOMICAS,PT GRATUITAS INST,OBSERVACIONES
JEFE DE ATENCIÓN A CLIENTES,"$14,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$19,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$20,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$30,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$9,500.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$8,500.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$32,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$20,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$85,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR FINANZAS,"$115,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$32,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$56,520.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE FISCAL,"$45,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE IMPUESTOS,"$42,390.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$35,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$25,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$14,400.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCIÓN A CLIENTES,"$20,150.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$14,000.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$26,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$16,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$16,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$22,250.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE RECURSOS HUMANOS,"$7,250.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
AUXILIAR DE MERCADOTECNIA,"$10,625.00",JUNIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE TESORERIA,"$49,700.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
CONTRALOR,"$37,500.00",SENIOR,SI,SI,CONFIDENCIAL,SERVICIOS,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$150,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$28,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$24,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$25,583.80",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$32,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$60,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$17,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$30,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$34,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$40,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$23,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$26,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CALIDAD,"$41,778.50",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE LOGISTICA,"$19,750.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$117,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$27,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$25,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$28,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$31,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$19,450.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,GUADALAJARA,JALISCO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$23,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$29,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$14,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$20,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CALIDAD,"$32,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE LOGISTICA,"$21,250.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$100,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$120,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$22,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$21,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$18,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$35,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$24,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$16,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$15,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$26,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VILLAHERMOSA,TABASCO,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$23,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$16,750.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$18,800.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CALIDAD,"$31,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE LOGISTICA,"$14,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,VERACRUZ,VERACRUZ,SUR,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$187,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$127,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$30,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$25,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$42,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$22,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$23,750.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$18,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$19,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$37,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$17,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE MERCADOTECNIA,"$32,750.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE SISTEMAS,"$17,250.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE CALIDAD,"$31,750.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE LOGISTICA,"$20,000.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,MONTERREY,NUEVO LEÓN,NORTE,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR GENERAL,"$117,500.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
DIRECTOR DE FINANZAS,"$125,000.00",DIRECTIVO,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE FINANZAS,"$27,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE OPERATIVO,"$27,500.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE RECURSOS HUMANOS,"$25,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATRACCION DE TALENTO,"$28,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE DE VENTAS,"$31,250.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE VENTAS,"$14,950.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,SAN LUIS,SAN LUIS POTOSI,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE ATENCION A CLIENTES,"$21,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE PRODUCCION,"$23,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
GERENTE CONTABLE,"$29,000.00",GERENCIAL ,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
JEFE DE COMPRAS,"$14,500.00",SENIOR,SI,SI,CONFIDENCIAL,INDUSTRIAL,CONFIDENCIAL,QUERETARO,QUERETARO,CENTRO,CONFIDENCIAL,NO,NO,NO,NO,NO,NO,NO,NO,NO,
